DATE,age,bmr,body_fat,e_caffeine,e_calcium,e_calories,e_carbs,e_cholesterol,e_count,e_fat,e_fiber,e_iron,e_monounsaturated_fat,e_num_drinks,e_num_foods,e_num_mealitems_green,e_num_mealitems_red,e_num_mealitems_with_score,e_num_mealitems_yellow,e_num_water,e_polyunsaturated_fat,e_potassium,e_protein,e_sat_fat,e_sodium,e_sugar,e_trans_fat,e_unsat_fat,e_vitamin_a,e_vitamin_c,gender,goal_body_weight,goal_body_weight_intent,height,m_active_time,m_calories,m_distance,m_inactive_time,m_lcat,m_lcit,m_steps,m_total_calories,m_workout_count,m_workout_time,n_asleep_time,n_awake,n_awake_time,n_awakenings,n_bedtime,n_clinical_deep,n_count,n_deep,n_duration,n_light,n_quality,n_rem,s_asleep_time,s_awake,s_awake_time,s_awakenings,s_bedtime,s_clinical_deep,s_count,s_deep,s_duration,s_light,s_quality,s_rem,weight
20150101,23.024657534246575,1974.078697260274,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,2285.0,228.5929480467576,3819.0,29700.0,163.0,13080.0,4399.0,2202.6716453070317,0.0,0.0,,,,,,,,,,,,,17699.0,3787.0,41400.0,1.0,14931.0,0.0,1.0,9840.0,22859.0,13019.0,63.0,0.0,82.0
20150102,23.027397260273972,1974.060190410959,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,2629.0,274.35231016058077,4372.0,28680.0,344.0,10680.0,5072.0,2248.4125005715396,0.0,0.0,,,,,,,,,,,,,7440.0,665.0,42900.0,1.0,7050.0,0.0,1.0,15322.0,35473.0,20151.0,100.0,0.0,82.0
20150103,23.03013698630137,1974.041683561644,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,3717.0,390.0733489160128,6297.0,28740.0,509.0,11760.0,7220.0,2364.1150324776568,0.0,0.0,,,,,,,,,,,,,9118.0,703.0,39900.0,0.0,8445.0,0.0,1.0,12779.0,30841.0,18062.0,85.0,0.0,82.0
20150104,23.03287671232877,1974.023176712329,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,6695.0,662.6643572650956,10858.0,25080.0,1159.0,12900.0,12641.0,2636.6875339774247,0.0,0.0,,,,,,,,,,,,,7317.0,1669.0,41400.0,1.0,6551.0,0.0,1.0,18275.0,33335.0,15060.0,100.0,0.0,82.0
20150105,23.035616438356165,1974.004669863014,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,12726.0,1428.5856026424601,17297.0,24360.0,2166.0,5760.0,20215.0,3402.590272505474,2.0,3600.0,,,,,,,,,,,,,2759.0,1039.0,24900.0,1.0,2119.0,0.0,1.0,6867.0,21746.0,14879.0,55.0,0.0,82.0
20150106,23.03835616438356,1973.9861630136988,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,5994.0,545.910633169352,9456.0,26940.0,1178.0,4380.0,11206.0,2519.896796183051,0.0,0.0,,,,,,,,,,,,,778.0,1563.0,23400.0,0.0,-79.0,0.0,1.0,8644.0,22756.0,14112.0,59.0,0.0,82.0
20150107,23.041095890410958,1973.9676561643837,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,4389.0,429.66165472163703,7160.0,26880.0,916.0,9360.0,8400.0,2403.629310886021,0.0,0.0,6599.0,2741.0,39000.0,1.0,5289.0,0.0,2.0,16200.0,32199.0,15999.0,95.0,0.0,,,,,,,,,,,,,82.0
20150108,23.043835616438358,1973.9491493150686,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,6017.0,610.8953669834215,9932.0,26040.0,819.0,3000.0,11535.0,2584.84451629849,0.0,0.0,,,,,,,,,,,,,839.0,1717.0,26400.0,3.0,564.0,0.0,1.0,9798.0,24282.0,14484.0,66.0,0.0,82.0
20150109,23.046575342465754,1973.9306424657536,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,4059.0,400.3169498283727,6595.0,25980.0,671.0,7680.0,7715.0,2374.247592294126,0.0,0.0,,,,,,,,,,,,,6300.0,0.0,34800.0,0.0,6300.0,0.0,1.0,0.0,28500.0,0.0,0.0,0.0,82.0
20150110,23.04931506849315,1973.9121356164385,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,1784.0,214.04946958987222,3206.0,28800.0,202.0,8760.0,3589.0,2187.9616052063107,0.0,0.0,,,,,,,,,,,,,5400.0,466.0,35400.0,0.0,5013.0,0.0,1.0,11581.0,29967.0,18386.0,81.0,0.0,82.0
20150111,23.052054794520547,1973.8936287671233,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,6970.0,726.4500080455304,7769.0,22080.0,1080.0,3360.0,9193.0,2700.3436368126536,1.0,2700.0,,,,,,,,,,,,,720.0,3259.0,32100.0,4.0,-273.0,0.0,1.0,15178.0,29234.0,14056.0,85.0,0.0,82.0
20150112,23.054794520547944,1973.8751219178084,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,7541.0,752.5524980815915,12412.0,24060.0,1223.0,4560.0,14461.0,2726.4276199994,0.0,0.0,,,,,,,,,,,,,899.0,2492.0,32400.0,0.0,-824.0,0.0,1.0,14959.0,31535.0,16576.0,93.0,0.0,82.0
20150113,23.057534246575344,1973.8566150684933,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,8425.0,844.8449866128032,13847.0,24900.0,1323.0,4680.0,16166.0,2818.7016016812963,0.0,0.0,,,,,,,,,,,,,599.0,2917.0,33300.0,1.0,-1560.0,0.0,1.0,12181.0,32179.0,19998.0,88.0,0.0,82.0
20150114,23.06027397260274,1973.8381082191781,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,3258.0,290.6248161505,5169.0,25740.0,524.0,3060.0,6138.0,2264.462924369678,0.0,0.0,,,,,,,,,,,,,3299.0,1897.0,25800.0,2.0,2582.0,0.0,1.0,8243.0,22032.0,13789.0,57.0,0.0,82.0
20150115,23.063013698630137,1973.8196013698632,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,65.0,6.151479303781999,105.0,0.0,32.0,0.0,124.0,1979.9710806736452,0.0,0.0,,,,,,,,,,,,,-3242.0,4059.0,27900.0,4.0,-4815.0,0.0,1.0,17036.0,28841.0,11805.0,90.0,0.0,82.0
20150116,23.065753424657533,1973.801094520548,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,1620.0,130.98784883007062,2342.0,31440.0,905.0,27780.0,2894.0,2104.788943350619,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,82.0
20150117,23.068493150684933,1973.7825876712332,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,6.0,0.7473090291023254,11.0,20340.0,6.0,20340.0,13.0,1974.5298967003355,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,82.0
20150118,23.07123287671233,1973.764080821918,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,348.0,29.55313724254208,520.0,32400.0,200.0,32400.0,638.0,2003.3172180644601,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,82.0
20150119,23.073972602739726,1973.7455739726029,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,462.0,39.26365309934729,692.0,8460.0,246.0,4740.0,846.0,2013.0092270719501,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,82.0
20150120,23.076712328767123,1973.7270671232877,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,,,,,,,,1973.7270671232877,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0
20150121,23.07945205479452,1973.7085602739728,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,,,,,,,,1973.7085602739728,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0
20150122,23.08219178082192,1973.6900534246577,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,,,,,,,,1973.6900534246577,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0
20150123,23.084931506849315,1973.6715465753427,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,,,,,,,,1973.6715465753427,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0
20150124,23.087671232876712,1973.6530397260276,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,,,,,,,,1973.6530397260276,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0
20150125,23.09041095890411,1973.6345328767125,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,487.0,46.42242687936893,803.0,32400.0,314.0,32400.0,940.0,2020.0569597560814,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,82.0
20150126,23.09315068493151,1973.6160260273973,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,9681.0,1008.855663268169,13129.0,23400.0,1922.0,5400.0,15628.0,2982.471689295566,2.0,1800.0,,,,,,,,,,,,,3299.0,1471.0,24000.0,1.0,2537.0,0.0,1.0,8880.0,20157.0,11277.0,55.0,0.0,82.0
20150127,23.095890410958905,1973.5975191780824,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,4008.0,355.55226395926644,6179.0,27480.0,960.0,6960.0,7426.0,2329.149783137349,0.0,0.0,,,,,,,,,,,,,2579.0,1025.0,35700.0,1.0,1886.0,0.0,1.0,15618.0,32906.0,17288.0,95.0,0.0,82.0
20150128,23.0986301369863,1973.5790123287672,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,4561.0,506.0081223544,7908.0,27360.0,1054.0,6900.0,9058.0,2479.5871346831673,0.0,0.0,,,,,,,,,,,,,2640.0,2193.0,35100.0,1.0,1759.0,0.0,1.0,14296.0,31225.0,16929.0,90.0,0.0,82.0
20150129,23.101369863013698,1973.560505479452,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,2118.0,195.79593897994278,3140.0,30960.0,272.0,11580.0,3826.0,2169.356444459395,0.0,0.0,,,,,,,,,,,,,-2040.0,1952.0,21600.0,1.0,-3014.0,0.0,1.0,5925.0,23133.0,17208.0,55.0,0.0,82.0
20150130,23.104109589041094,1973.5419986301372,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,4901.0,488.71909403963883,8007.0,25020.0,878.0,8340.0,9354.0,2462.261092669776,0.0,0.0,193378.0,3050.0,194100.0,0.0,190872.0,0.0,3.0,1218.0,2089.0,871.0,6.0,0.0,10858.0,1548.0,36300.0,2.0,10475.0,0.0,1.0,13668.0,24585.0,10917.0,72.0,0.0,82.0
20150131,23.106849315068494,1973.523491780822,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,1077.0,106.53932315126387,1768.0,21120.0,240.0,9420.0,2063.0,2080.062814932086,0.0,0.0,,,,,,,,,,,,,17339.0,1969.0,37200.0,2.0,16658.0,0.0,1.0,3060.0,18772.0,15712.0,42.0,0.0,82.0
20150201,23.10958904109589,1973.504984931507,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,116.0,12.192441701915584,194.0,32400.0,75.0,32400.0,226.0,1985.6974266334225,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,82.0
20150202,23.112328767123287,1973.486478082192,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,3687.0,366.2995426641946,6009.0,26400.0,695.0,4380.0,7039.0,2339.7860207463864,0.0,0.0,,,,,,,,,,,,,6479.0,701.0,28200.0,0.0,5788.0,0.0,1.0,10382.0,21891.0,11509.0,62.0,0.0,82.0
20150203,23.115068493150684,1973.4679712328768,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,4304.0,375.43742347615586,6537.0,27180.0,517.0,6360.0,7902.0,2348.905394709033,0.0,0.0,,,,,,,,,,,,,-1562.0,2392.0,26400.0,2.0,-2589.0,0.0,1.0,10337.0,26675.0,16338.0,72.0,0.0,82.0
20150204,23.117808219178084,1973.449464383562,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,4421.0,430.987217731016,7213.0,27420.0,866.0,7680.0,8438.0,2404.4366821145777,0.0,0.0,6236.0,3491.0,29400.0,4.0,4825.0,0.0,2.0,11550.0,22803.0,11253.0,63.0,0.0,,,,,,,,,,,,,82.0
20150205,23.12054794520548,1973.4309575342468,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,3782.0,369.09416231422506,6038.0,28740.0,527.0,8640.0,7116.0,2342.525119848472,0.0,0.0,,,,,,,,,,,,,4920.0,1069.0,36900.0,0.0,3854.0,0.0,1.0,19380.0,32049.0,12669.0,100.0,0.0,82.0
20150206,23.123287671232877,1973.4124506849316,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,4111.0,383.03569050777077,6467.0,26580.0,499.0,4440.0,7700.0,2356.448141192702,0.0,0.0,,,,,,,,,,,,,5578.0,1703.0,29100.0,2.0,4464.0,0.0,1.0,11076.0,23097.0,12021.0,64.0,0.0,82.0
20150207,23.126027397260273,1973.3939438356165,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,2016.0,211.70706246849016,3383.0,27540.0,530.0,8040.0,3905.0,2185.1010063041067,0.0,0.0,,,,,,,,,,,,,8939.0,1345.0,36900.0,0.0,7828.0,0.0,1.0,12603.0,27907.0,15304.0,79.0,0.0,82.0
20150208,23.12876712328767,1973.3754369863016,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,3135.0,309.0853589470554,5040.0,31260.0,428.0,8220.0,5924.0,2282.460795933357,0.0,0.0,106799.0,1153.0,109800.0,0.0,105860.0,0.0,2.0,1597.0,3191.0,1594.0,7.0,0.0,17100.0,597.0,36600.0,0.0,16505.0,0.0,1.0,8578.0,19723.0,11145.0,55.0,0.0,82.0
20150209,23.13150684931507,1973.3569301369864,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,3855.0,401.0601887382563,6448.0,27900.0,823.0,6120.0,7408.0,2374.4171188752425,0.0,0.0,,,,,,,,,,,,,3058.0,2609.0,30300.0,1.0,2010.0,0.0,1.0,10800.0,25801.0,15001.0,70.0,0.0,82.0
20150210,23.134246575342466,1973.3384232876715,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,7754.0,833.1136668782984,10800.0,24660.0,1170.0,8340.0,12845.0,2806.45209016597,1.0,1800.0,66478.0,1172.0,69300.0,1.0,65743.0,0.0,1.0,2223.0,2391.0,168.0,8.0,0.0,3000.0,1677.0,29700.0,0.0,2282.0,0.0,1.0,10375.0,26718.0,16343.0,72.0,0.0,82.0
20150211,23.136986301369863,1973.3199164383564,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,5207.0,562.4186195745773,8898.0,25260.0,1731.0,8820.0,10081.0,2535.7385360129338,0.0,0.0,,,,,,,,,,,,,5517.0,1102.0,37200.0,1.0,5135.0,0.0,1.0,12062.0,31218.0,19156.0,84.0,0.0,82.0
20150212,23.13972602739726,1973.3014095890412,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,4185.0,419.98530436599697,6849.0,27420.0,461.0,8880.0,8012.0,2393.286713955038,0.0,0.0,,,,,,,,,,,,,6660.0,2289.0,37500.0,3.0,5382.0,0.0,1.0,11857.0,30069.0,18212.0,81.0,0.0,82.0
20150213,23.14246575342466,1973.282902739726,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,10417.0,1327.41927510928,9918.0,24480.0,825.0,6540.0,11727.0,3300.702177849006,1.0,4500.0,58859.0,484.0,59400.0,0.0,58604.0,0.0,1.0,0.0,540.0,540.0,1.0,0.0,8520.0,1386.0,26100.0,1.0,7845.0,0.0,1.0,5521.0,17044.0,11523.0,42.0,0.0,82.0
20150214,23.145205479452056,1973.2643958904112,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,9597.0,1132.11414646578,17154.0,20820.0,4796.0,6360.0,19102.0,3105.3785423561912,0.0,0.0,,,,,,,,,,,,,3057.0,2669.0,34800.0,2.0,2350.0,0.0,1.0,11121.0,30201.0,19080.0,82.0,0.0,82.0
20150215,23.147945205479452,1973.245889041096,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,7749.0,701.6632297140679,11614.0,21360.0,2292.0,3060.0,14076.0,2674.909118755164,0.0,0.0,,,,,,,,,,,,,-1680.0,2523.0,31800.0,3.0,-2365.0,0.0,1.0,15070.0,31700.0,16630.0,91.0,0.0,82.0
20150216,23.15068493150685,1973.227382191781,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,7211.0,810.601849718722,9689.0,24300.0,1284.0,7680.0,11368.0,2783.829231910503,1.0,1800.0,,,,,,,,,,,,,5998.0,1252.0,25800.0,1.0,5030.0,0.0,1.0,5961.0,19677.0,13716.0,49.0,0.0,82.0
20150217,23.153424657534245,1973.208875342466,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,7092.0,829.5718950154572,12625.0,22980.0,2258.0,4860.0,14086.0,2802.7807703579233,0.0,0.0,,,,,,,,,,,,,2279.0,2397.0,33600.0,4.0,1524.0,0.0,1.0,8989.0,29799.0,20810.0,72.0,0.0,82.0
20150218,23.156164383561645,1973.1903684931508,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,3121.0,312.80946741904165,5189.0,29040.0,481.0,5940.0,6029.0,2285.9998359121923,0.0,0.0,,,,,,,,,,,,,7677.0,2663.0,33000.0,0.0,6338.0,0.0,1.0,8897.0,25518.0,16621.0,66.0,0.0,82.0
20150219,23.15890410958904,1973.1718616438357,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,5148.0,506.88832475928757,8323.0,27420.0,537.0,6780.0,9776.0,2480.060186403123,0.0,0.0,,,,,,,,,,,,,1437.0,899.0,30300.0,1.0,827.0,0.0,1.0,11116.0,28717.0,17601.0,77.0,0.0,82.0
20150220,23.161643835616438,1973.1533547945207,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,4423.0,401.67987024222407,6757.0,25080.0,581.0,6660.0,8133.0,2374.833225036745,0.0,0.0,,,,,,,,,,,,,5217.0,2151.0,26400.0,1.0,4351.0,0.0,1.0,7357.0,20438.0,13081.0,52.0,0.0,82.0
20150221,23.164383561643834,1973.1348479452056,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,4932.0,529.5539566124625,8379.0,27120.0,982.0,4920.0,9598.0,2502.688804557668,0.0,0.0,70380.0,714.0,71700.0,0.0,69701.0,0.0,1.0,1080.0,1299.0,219.0,4.0,0.0,7139.0,1151.0,33300.0,0.0,6211.0,0.0,1.0,9003.0,26345.0,17342.0,67.0,0.0,82.0
20150222,23.167123287671235,1973.1163410958907,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,6500.0,656.3731647266702,10604.0,20520.0,844.0,6660.0,12400.0,2629.489505822561,0.0,0.0,,,,,,,,,,,,,13859.0,1919.0,28800.0,0.0,12769.0,0.0,1.0,8351.0,14952.0,6601.0,45.0,0.0,82.0
20150223,23.16986301369863,1973.0978342465755,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,3268.0,311.00881716492523,5219.0,27420.0,652.0,5220.0,6177.0,2284.106651411501,0.0,0.0,68580.0,730.0,71100.0,1.0,68177.0,0.0,1.0,141.0,2433.0,2292.0,4.0,0.0,1978.0,2137.0,33000.0,2.0,1303.0,0.0,1.0,13628.0,29562.0,15934.0,82.0,0.0,82.0
20150224,23.172602739726027,1973.0793273972604,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,5320.0,554.9463314115002,8922.0,21960.0,675.0,5160.0,10308.0,2528.0256588087605,0.0,0.0,,,,,,,,,,,,,8158.0,1794.0,38400.0,1.0,7478.0,0.0,1.0,9841.0,29146.0,19305.0,76.0,0.0,82.0
20150225,23.175342465753424,1973.0608205479452,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,5824.0,622.532367603067,9827.0,28440.0,1121.0,7140.0,11334.0,2595.5931881510123,0.0,0.0,,,,,,,,,,,,,6780.0,2492.0,35700.0,2.0,6067.0,0.0,1.0,10380.0,27206.0,16826.0,71.0,0.0,82.0
20150226,23.17808219178082,1973.0423136986303,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,4102.0,382.3089426507677,6549.0,29100.0,770.0,11100.0,7750.0,2355.3512563493978,0.0,0.0,,,,,,,,,,,,,5459.0,1649.0,39600.0,3.0,5157.0,0.0,1.0,11882.0,32811.0,20929.0,88.0,0.0,82.0
20150227,23.18082191780822,1973.0238068493152,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,6683.0,611.3710495755261,10210.0,24600.0,794.0,6840.0,12285.0,2584.3948564248412,0.0,0.0,,,,,,,,,,,,,2159.0,2631.0,28200.0,3.0,1773.0,0.0,1.0,8008.0,24027.0,16019.0,61.0,0.0,82.0
20150228,23.183561643835617,1973.0053000000003,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,8793.0,969.01036781364,15177.0,17100.0,2836.0,5460.0,17199.0,2942.01566781364,0.0,0.0,69596.0,2339.0,91200.0,1.0,68561.0,0.0,2.0,11728.0,21388.0,9660.0,61.0,0.0,32699.0,281.0,33900.0,0.0,32420.0,0.0,1.0,0.0,1441.0,1441.0,2.0,0.0,82.0
